,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
1142,0.03,-0.17,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1141,0.03,-0.16,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1137,0.03,-0.12,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1138,0.03,-0.13,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1139,0.03,-0.14,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1140,0.03,-0.15,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1148,0.03,-0.23,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1149,0.03,-0.24,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1146,0.03,-0.21,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
1145,0.03,-0.2,-1.38,0.74,-0.54,1.94,0.16,-0.0,-0.42,2.56,1.4,-0.06,1.09,-1.15,0.57,-1.93,-0.89,0.94,3.03
