,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
1095,0.04,-0.2,0.0,-0.24,0.0,0.82,0.42,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,3.06
1096,0.04,-0.21,0.0,-0.24,0.0,0.82,0.42,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,3.06
1097,0.04,-0.22,0.0,-0.24,0.0,0.82,0.42,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,3.06
1098,0.04,-0.23,0.0,-0.24,0.0,0.82,0.42,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,3.06
1099,0.04,-0.24,0.0,-0.24,0.0,0.82,0.42,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,3.06
1088,0.04,-0.13,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
1090,0.04,-0.15,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
1091,0.04,-0.16,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
1092,0.04,-0.17,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
1093,0.04,-0.18,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
1094,0.04,-0.19,0.0,-0.24,0.0,0.82,0.25,1.66,0.0,-0.54,0.17,0.51,0.0,0.37,0.0,-0.74,0.63,0.0,2.89
